language,name,description,category,students,instructor,link
English,Movavi Video Editor Guide - Video Editing for Beginners,Learn Movavi Video Editor basics and how to use Movavi Video Editor for any type of Video Editing,Photography & Video,Undefined,Nick Nyxson,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/movavivideoeditor/?couponCode=2965A2DC9FBAB12BC842
English,Big Data Programming Languages & Big Data Vs Data Science,"Big Data Programming Languages,Skills to become a Big Data Professional,Differences between Big Data & Data Science",Development,Undefined,Lalitha Audikesavan,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/big-data-programming-languages-big-data-vs-data-science/?couponCode=9B63E02A38C75D26A3AA
English,"Hands-On SQL Server,ManagementStudio,SQL Queries,AzureStudio","Detailed Course with Hands-On Practical Lab Sessions-SQL Server,Writing SQL Queries,Management Studio& Azure Data Studio",IT & Software,Undefined,Lalitha Audikesavan,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/hands-on-sql-servermanagementstudiosql-queriesazurestudio/?couponCode=6859D7A9172AAA4C0612
English,Essential Lightroom Course for Beginner to Advanced,Learn Photo Editing by Adobe Lightroom,Design,Undefined,"Ben Kemp, Zechariah Tech",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/essential-lightroom-course-for-beginner-to-advanced/?couponCode=D36610319EFF1847569F
English,Advanced Microsoft Word With Job Success,"Beginner to Expert Level - Fundamentals, Copy Cut, Paste, Font Design, Typography, Cases, Indent, Alignment, Paragraph",Office Productivity,Undefined,"Marcus Menti, Zechariah Tech",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/advanced-microsoft-word-with-job-success/?couponCode=517804DF409F59CE78DB
English,Adobe Photoshop CC Fundamentals and Essentials Training,"Learn Photoshop Layer, Image Color Adjustment, Correction, Fixing, Retouching, Text Style, Shape, Symbol, Content Aware",Design,Undefined,Stephen Koel Soren,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/adobe-photoshop-cc-principal-essential-course-for-beginners/?couponCode=3F658D95D36797DC4B9E
English,Learn FIVE (5) Computer Programming Languages in ONE COURSE,"Learn All Computer Programming Languages with Examples, Exercises, Assignments etc. (Python, JS, C#, PHP, C++)",Development,Undefined,"Faisal Zamir, Jafri Code, Pro Python Support",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/learn-five-5-computer-programming-languages-in-one-course/?couponCode=1A1A4A6DF9B49063607A
English,01 Day C Code | Learn C Programming with Examples in One Day,100% C Programming Bootcamp | Learn C Programming Language with Examples | Become C Programmer in ONE Day,Development,Undefined,"Faisal Zamir, Jafri Code",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/01-day-c-code-learn-c-programming-with-examples-in-one-day/?couponCode=022D286E072EA7ECD6A3
English,Gatsby JS | Build a personal blog using gatsbyJS,Learn Gatsby JS and GraphQL to increase your knowledge in modern web development.,Development,Undefined,Tech Vista,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/gatsbyjs-graphql-build-a-personal-blog-using-gatsbyjs-graphql/?couponCode=FEB_2024
English,Exam DP-900 Microsoft Azure Data Fundamentals Practice Exams,Conquer Exam DP-900: Ace Microsoft Azure Data Fundamentals with Practice Tests - Master Cloud Data Concepts!,IT & Software,Undefined,Paweł Krakowiak,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/exam-dp-900-microsoft-azure-data-fundamentals-practice-tests-p/?couponCode=FREEDROP4
English,PCAP - Certified Associate in Python Programming - Exams,Excel in the PCAP - Certified Associate in Python Programming - Validate Your Proficiency and Ignite Your Career!,IT & Software,Undefined,Paweł Krakowiak,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/pcap-certified-associate-in-python-programming-exams/?couponCode=FREEDROP4
English,"Data Analytics,Storage,Mining & Visual Big Data Technologies","Data Analytics, Data Storage, Data Mining and Data Visualization Big Data Technologies",IT & Software,Undefined,Lalitha Audikesavan,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/different-technologies-in-big-data/?couponCode=9142920BA0516C585ABC
